name,image_path
Heights Outdoors and Archery Range,/manitoba_listing_images/heights_outdoors_and_archery_range.jpg
Archery Manitoba Sanford Range,/manitoba_listing_images/archery_manitoba_sanford_range.jpg
Jo-Brook Outdoors,/manitoba_listing_images/jobrook_outdoors.jpg
Flatlanders Archery Club,/manitoba_listing_images/flatlanders_archery_club.png
Burning Arrow Archery League,/manitoba_listing_images/burning_arrow_archery_league.jpeg
FortWhyte Alive,/manitoba_listing_images/fortwhyte_alive.jpg
17 Wing Archery Club,/manitoba_listing_images/17_wing_archery_club.jpg
St. Sebastian Pole Archery,/manitoba_listing_images/st_sebastian_pole_archery.jpg
